Pressure, Temperature, X_ch4,X_CO2, ch4_uptake, co2_uptake,ch4_diff,co2_diff
4500000.085,280,0.98,0.02,96.6637,17.79892,9.45E-09,8.12E-09
4500000.085,280,0.884,0.116,61.0196,76.99306,6.78E-09,9.16E-09
4500000.085,280,0.788,0.212,40.0524,109.96592,5.74E-09,5.50E-09
4500000.085,280,0.692,0.308,27.14284,129.62306,6.08E-09,5.39E-09
4500000.085,280,0.596,0.404,19.24924,141.53414,6.18E-09,5.18E-09
4500000.085,280,0.5,0.5,13.63828,150.6652,5.35E-09,4.52E-09
4500000.085,280,0.404,0.596,9.44842,157.77396,3.43E-09,4.38E-09
4500000.085,280,0.308,0.692,6.34596,162.92316,1.89E-09,4.43E-09
4500000.085,280,0.212,0.788,4.14034,166.23972,2.61E-09,4.53E-09
4500000.085,280,0.116,0.884,2.0824,169.49458,6.86E-10,4.38E-09
4500000.085,280,0.02,0.98,0.34084,172.27436,2.07E-09,4.04E-09
4500000.085,300,0.98,0.02,86.42548,11.44698,1.23E-08,1.00E-08
4500000.085,300,0.884,0.116,62.2679,55.84446,9.42E-09,1.04E-08
4500000.085,300,0.788,0.212,44.40324,86.37938,7.29E-09,9.72E-09
4500000.085,300,0.692,0.308,32.01918,107.38424,4.77E-09,7.07E-09
4500000.085,300,0.596,0.404,23.1548,122.43874,6.55E-09,6.89E-09
4500000.085,300,0.5,0.5,16.88112,132.79194,6.32E-09,6.25E-09
4500000.085,300,0.404,0.596,11.82796,141.3554,4.46E-09,6.23E-09
4500000.085,300,0.308,0.692,8.00096,148.04726,4.43E-09,5.62E-09
4500000.085,300,0.212,0.788,5.03088,152.89876,5.78E-09,5.62E-09
4500000.085,300,0.116,0.884,2.53458,157.4878,3.16E-09,5.32E-09
4500000.085,300,0.02,0.98,0.40406,161.25234,1.15E-09,5.71E-09
4500000.085,320,0.98,0.02,75.7227,7.82632,1.31E-08,6.89E-09
4500000.085,320,0.884,0.116,59.63004,40.09692,1.26E-08,9.82E-09
4500000.085,320,0.788,0.212,45.6341,66.00864,1.01E-08,9.62E-09
4500000.085,320,0.692,0.308,34.59764,86.39696,9.71E-09,9.93E-09
4500000.085,320,0.596,0.404,26.03234,101.92938,9.55E-09,8.12E-09
4500000.085,320,0.5,0.5,19.33376,113.8793,8.38E-09,7.84E-09
4500000.085,320,0.404,0.596,13.85076,123.7008,1.01E-08,6.88E-09
4500000.085,320,0.308,0.692,9.48546,131.37844,4.99E-09,7.17E-09
